#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
2000,-175877.1431185219,26703.512577354326,-149173.63054116757,268.37892032861583,117.35270158064645,0
4000,-171464.7371196784,28483.928568872972,-142980.80855080544,286.2726756971433,117.35270158064645,156
6000,-171025.19290493638,29337.594579931465,-141687.59832500492,294.8522946407353,117.35270158064645,156
8000,-170367.7046308755,29581.45454652398,-140786.25008435152,297.30316601415046,117.35270158064645,155
10000,-169837.29201222304,29299.128778908285,-140538.16323331476,294.4657009250856,117.35270158064645,153
12000,-169592.84521476598,29176.427776276483,-140416.4174384895,293.23251624519867,117.35270158064645,153
14000,-170013.14926578896,29408.175687507843,-140604.97357828112,295.5616575529017,117.35270158064645,154
16000,-169377.42217969056,29430.00713203335,-139947.4150476572,295.7810706167823,117.35270158064645,154
18000,-169121.38393218396,30143.515347176464,-138977.8685850075,302.952058473567,117.35270158064645,154
20000,-169063.0186774244,29847.685936153168,-139215.33274127124,299.978877409769,117.35270158064645,153
22000,-168980.23460806347,29239.227072619367,-139741.0075354441,293.8636694427819,117.35270158064645,153
24000,-169452.50475533656,29589.836313931504,-139862.66844140505,297.3874054819269,117.35270158064645,153
26000,-170262.96240302222,29517.94793588284,-140745.01446713938,296.6649040795744,117.35270158064645,153
28000,-170034.8563657496,29666.302690655924,-140368.5536750937,298.15591724858285,117.35270158064645,153
30000,-169201.6271169237,29705.515794555657,-139496.11132236803,298.55002159934406,117.35270158064645,152
32000,-169483.41657046357,30307.704923774167,-139175.7116466894,304.60221671281954,117.35270158064645,152
34000,-169795.17603768804,30134.728830294684,-139660.44720739336,302.8637511429359,117.35270158064645,152
36000,-169738.09493835713,29417.64596094418,-140320.44897741295,295.656836857598,117.35270158064645,152
38000,-170039.20155142364,29731.518690746976,-140307.68286067666,298.8113590988595,117.35270158064645,152
40000,-169186.02512560133,29760.486649828847,-139425.53847577248,299.10249643743975,117.35270158064645,152
42000,-169389.06162891153,29462.484492766438,-139926.5771361451,296.107478574665,117.35270158064645,152
44000,-169262.99628509022,29459.719773708493,-139803.27651138173,296.07969225578154,117.35270158064645,152
46000,-169437.21451780235,29461.658177818288,-139975.55633998406,296.09917384273155,117.35270158064645,152
48000,-170420.8695032345,29899.465173388366,-140521.40432984615,300.4992754564442,117.35270158064645,152
50000,-170214.75468542567,29550.72340746876,-140664.0312779569,296.9943081477474,117.35270158064645,152
52000,-169193.8612879098,29675.310348630883,-139518.5509392789,298.2464471185767,117.35270158064645,152
54000,-169678.11502622208,29923.19531230793,-139754.91971391416,300.73777101181474,117.35270158064645,152
56000,-170213.37086496083,29501.02082508849,-140712.35003987234,296.4947811526332,117.35270158064645,152
58000,-169472.31489916565,29475.18317903939,-139997.13172012626,296.23510447038393,117.35270158064645,152
60000,-169323.76169734122,29841.192725537694,-139482.56897180353,299.91361854731036,117.35270158064645,151
62000,-169371.24097593955,29813.435910050757,-139557.8050658888,299.63465359277245,117.35270158064645,151
64000,-169199.82860753825,29186.008214727277,-140013.82039281097,293.3288027438475,117.35270158064645,151
66000,-169834.6747979126,29742.18325392995,-140092.49154398264,298.9185414009829,117.35270158064645,151
68000,-169959.5824823879,29964.04669263377,-139995.53578975413,301.14834056943465,117.35270158064645,151
70000,-169633.8949109451,29128.652329307282,-140505.2425816378,292.75235758297515,117.35270158064645,151
72000,-170431.34217744926,29739.426141182426,-140691.91603626683,298.8908315279742,117.35270158064645,151
74000,-170182.22404153855,29400.227709415718,-140781.99633212283,295.48177780775654,117.35270158064645,151
76000,-169203.87108363537,29362.88451735326,-139840.9865662821,295.1064666744997,117.35270158064645,151
78000,-169368.95925883518,29299.482787429588,-140069.4764714056,294.46925882498584,117.35270158064645,151
80000,-169755.2932191647,29766.453719500918,-139988.8394996638,299.16246741359794,117.35270158064645,151
82000,-169206.36362639884,29601.50169527752,-139604.86193112133,297.5046463296167,117.35270158064645,151
84000,-169538.14618317503,29707.026027140673,-139831.12015603436,298.5651999242719,117.35270158064645,151
86000,-169942.7363852174,29402.595035807695,-140540.1413494097,295.50557020208316,117.35270158064645,151
88000,-169904.4377492905,29397.4368588567,-140507.0008904338,295.453728858853,117.35270158064645,151
90000,-169936.132329216,29699.027439084137,-140237.10489013186,298.4848115326493,117.35270158064645,150
92000,-169701.84300355054,30006.612344506895,-139695.23065904365,301.57613910940955,117.35270158064645,150
94000,-169484.36541550187,29239.68861253187,-140244.67680297,293.8683080678708,117.35270158064645,150
96000,-169286.27918606962,29428.25644353975,-139858.02274252987,295.76347563236277,117.35270158064645,150
98000,-169858.57602548413,29467.87304156227,-140390.70298392186,296.16163522929133,117.35270158064645,150
100000,-170309.24458636995,29699.79833894904,-140609.4462474209,298.4925593251101,117.35270158064645,150
102000,-169814.24231390865,29691.45014671795,-140122.7921671907,298.4086572986937,117.35270158064645,150
104000,-169719.30610961234,29196.20527091506,-140523.10083869728,293.431286449775,117.35270158064645,150
106000,-169893.2799729692,29332.14916415885,-140561.13080881035,294.7975664546376,117.35270158064645,150
108000,-169541.01650343393,29568.194940301124,-139972.8215631328,297.1699026918904,117.35270158064645,150
110000,-169835.19575617881,30024.318885484478,-139810.87687069434,301.754095561264,117.35270158064645,150
112000,-169778.28423311713,29751.877764869336,-140026.4064682478,299.0159743649606,117.35270158064645,150
114000,-169076.8975877175,29410.6839058653,-139666.2136818522,295.58686595695616,117.35270158064645,150
116000,-169352.23314726597,30045.530159637332,-139306.70298762864,301.96727571273084,117.35270158064645,150
118000,-169740.41724414728,29869.655768536497,-139870.76147561078,300.19968131628724,117.35270158064645,150
120000,-169514.9384484837,28985.13613876677,-140529.80230971694,291.3099735462173,117.35270158064645,150
122000,-169884.02751969337,29183.541624894366,-140700.485894799,293.3040127199009,117.35270158064645,150
124000,-169679.00082975882,29099.069699973566,-140579.93112978525,292.4550426099706,117.35270158064645,150
126000,-169812.451265799,30134.26704938826,-139678.18421641074,302.8591100957802,117.35270158064645,150
128000,-169748.05322816595,29997.676718154922,-139750.37651001103,301.4863331804758,117.35270158064645,150
130000,-169685.19481538504,29929.700052588712,-139755.49476279633,300.80314575113107,117.35270158064645,150
132000,-169901.4299516091,29584.97565568681,-140316.4542959223,297.33855429772336,117.35270158064645,150
134000,-169703.38958205888,28761.23486035422,-140942.15472170466,289.059693430952,117.35270158064645,150
136000,-168957.27630258282,29751.103201153397,-139206.17310142942,299.0081897496143,117.35270158064645,150
138000,-169535.37295174366,30111.263024204178,-139424.10992753948,302.6279122178144,117.35270158064645,150
140000,-169953.89331044466,29585.026434024563,-140368.8668764201,297.3390646364072,117.35270158064645,149
142000,-169899.96041341813,30111.978149797535,-139787.9822636206,302.6350994608443,117.35270158064645,149
144000,-169571.84619433945,29737.769472935004,-139834.07672140445,298.87418147737515,117.35270158064645,149
146000,-169800.9972945269,30029.00334016967,-139771.99395435723,301.8011758428225,117.35270158064645,149
148000,-170064.8312852576,29831.74575682504,-140233.08552843257,299.81867346260907,117.35270158064645,149
150000,-169567.56382391602,29832.872413914185,-139734.69141000183,299.829996729999,117.35270158064645,149
152000,-168748.91825937422,29763.506417155702,-138985.4118422185,299.1328460737461,117.35270158064645,149
154000,-169162.31322499365,29678.739735830342,-139483.5734891633,298.2809135668132,117.35270158064645,149
156000,-169805.30483943422,29438.643856002018,-140366.6609834322,295.8678724802889,117.35270158064645,149
158000,-169877.22154141497,29574.958526453294,-140302.26301496167,297.23787891576023,117.35270158064645,149
160000,-169676.713549837,29386.6041111605,-140290.1094386765,295.34485624808775,117.35270158064645,149
162000,-170771.80473337183,29497.074897354643,-141274.72983601718,296.45512330530556,117.35270158064645,149
164000,-170225.00385086425,29404.91523071262,-140820.08862015163,295.5288889097524,117.35270158064645,149
166000,-170226.70148700196,29721.984649462975,-140504.716837539,298.7155389067122,117.35270158064645,149
168000,-169632.42028244247,29723.23462908843,-139909.18565335404,298.7281016053962,117.35270158064645,149
170000,-169247.43308848655,29502.807165781036,-139744.6259227055,296.51273445315934,117.35270158064645,149
172000,-169879.47225323447,29885.59795468967,-139993.8742985448,300.3599054326866,117.35270158064645,149
174000,-169388.9905497305,29869.975563173415,-139519.01498655707,300.20289535560636,117.35270158064645,149
176000,-168989.89459652407,29216.487901319168,-139773.4066952049,293.63513343183433,117.35270158064645,149
178000,-169489.3160621277,29349.893767806236,-140139.42229432147,294.97590544860884,117.35270158064645,149
