#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
2000,-193729.26510428207,14474.938979991653,-179254.3261242904,144.55973902914903,120.10080596246851,0
4000,-185847.0777299296,21675.9217710644,-164171.1559588652,216.47521960352512,119.87165374445193,29.6
6000,-180147.9645663798,24354.07292580488,-155793.8916405749,243.22164199225153,119.1340089875659,29.4
8000,-176105.07659411442,26172.816492658807,-149932.2601014556,261.3852484674685,117.37811144017952,29.3
10000,-173569.17756436951,27258.95192686771,-146310.2256375018,272.2323722540754,116.4662364072576,29.1
12000,-171171.42291221395,28129.70626536297,-143041.71664685098,280.92850700845116,117.48474477316151,29
14000,-169972.48742052005,28843.62228987459,-141128.86513064546,288.0583135198833,117.80683384133584,29
16000,-169418.0870911046,29234.50622425473,-140183.58086684986,291.9620314991291,117.13848717770148,29
18000,-168557.04450234398,29359.011000815546,-139198.03350152844,293.20544800212053,117.56546227997521,28.9
